SName,Lyric,Artist,Genres
Summer Of Love,"Kisses on your body were like heaven we were taking it slow
Tangled in the sheets until the evening there was nowhere to go
We were in a daze
Learning each other shapes
Tracing shadows of rain down your back
Kisses on your body in my memory baby nothing comes close

It was the summer of love
A delicate daydream
And for a couple of months
It felt like we were 18
It was the summer of
La La Love
It was the Summer of
La La love

Meditation and tequila
Calling you my senorita
Didn't know how much I need ya
Hate it when I have to leave ya
I've been taking mental pictures
For When I miss you in the winter
Staying up until the sunrise
Praying it won't be the last time

It was the summer of love
A delicate daydream
And for a couple of months
It felt like we were 18
It was the summer of
La La Love
It was the Summer of
La La love

Kisses on your body were like heaven we were taking it slow
Tangled in the sheets until the evening there was nowhere to go
It was the summer of love
You were my summer of love
A delicate daydream
And for a couple of months
It felt like we were 18
It was the summer of
La La Love
It was the Summer of
La La love",Shawn Mendes,Pop
I Know What You Did Last Summer (feat. Camila Cabello),"He knows
Dirty secrets that I keep
Does he know it's killing me?
He knows, he knows
D-d-does he know
Another's hands have touched my skin
I won't tell him where I've been
He knows, he knows, he knows

It's tearing me apart
She's slipping away
(I'm slipping away)
Am I just hanging on
To all the words she used to say?
The pictures on her phone
She's not coming home
(I'm not coming home)
Coming home, coming home

I know what you did
Last summer (ah-ah)
Just lied to me,
""there's no other"" (he-ey)
I know what you did last summer
Tell me where you've been
I know what you did
Last summer (ah-ah)
Look me in the eyes, my lover (he-ey)
I know what you did last summer
Tell me where you've been

I know (x7) (ah-ah)
(he-ey)
I know (x7) (ah-ah, ah-ah)
I didn't mean it, no,
I didn't mean it, mean it, no
(ah-ah, he-ey)
Can't seem to let you go,
Can't seem to hold you close
(ah-ah, ah-ah)
I know

When she looks me in the eyes
They don't seem as bright
No more, no more
I know
That she loved me at one time
Would I promise her that night
Cross my heart and hope to die

It's tearing me apart
(it's tearing me apart)
She's slipping away
(I'm slipping away)
Am I just hanging on to
All the words she used to say?
The pictures on her phone
(the pictures on my phone)
She's not coming home
(I'm not coming home)
Oh, na, na, na, yeah

I know what you did
Last summer (ah-ah)
Just lied to me,
""there's no other"" (he-ey)
I know what you did last summer
Tell me where you've been
I know what you did
Last summer (ah-ah)
Look me in the eyes, my lover (he-ey)
I know what you did last summer
Tell me where you've been

I know (x7)
I know (x7) (no, no, no)
Can't seem to let you go,
Can't seem to keep you close
(hold me close)
Can't seem to let you go,
Can't seem to keep you close
(you know I didn't mean it, though)
Tell me where you've been lately (x2)
(just hold me close)
Tell me where you've been lately (x2)
(don't, don't, don't, don't let me go)
Can't seem to keep you close,
Can't seem to let you go
(I didn't mean it, though)
I know you didn't mean it, though (x2)
(I don't wanna let you go)
To me you didn't mean it,
Though (x2) (no, no, no)
(can't seem to let you go,
Seem to let you go)
I know you didn't mean it, though
(hold me close)
I know you didn't mean it though (x2)
(just hold me close)
I can't seem to let you go,
Can't seem to hold you close

I know what you did
Last summer (ah-ah)
Just lied to me,
""there's no other"" (he-ey)
I know what you did last summer
Tell me where you've been
I know what you did last summer (ah-ah)
Look me in the eyes, my lover (he-ey)
I know what you did last summer
Tell me where you've been

I know (x7) (ah-ah)
(he-ey)
I know (x7) (ah-ah, ah-ah)
I know (x7) (ah-ah)
(he-ey)
I know (x7) (ah-ah, ah-ah)
I know",Shawn Mendes,Pop
Fallin' All In You,"Sunrise with you on my chest
No blinds in the place where I live
Daybreak open your eyes
'Cause this was only ever meant to be for one night
Still, we're changing our minds here
Be yours, be my dear

So close with you on my lips
Touch noses, feeling your breath
Push your heart and pull away, yeah
Be my summer in a winter day, love
I can't see one thing wrong
Between the both of us
Be mine, be mine, yeah
Anytime, anytime

Ooh you know I've been alone for quite a while,
haven't I
I thought I knew it all
Found love but I was wrong
More times than enough
But since you came along
I'm thinking, baby

You are bringing out a different kind of me
There's no safety net that's underneath
I'm free, fallin' all in you
Fell for men who weren't how they appear
Trapped up on a tightrope now we're here
We're free, fallin' all in you

Fast forward a couple years, yeah
Grown up in the place that we live
Make love, then we fight
Laugh 'cause it was only meant to be for one night baby
I guess we can't control
What's just not up to us
Be mine, be mine, yeah
Anytime, anytime

Ooh you know I've been alone for quite a while,
haven't I
I thought I knew it all
Found love but I was wrong
More times than enough
But since you came along
I'm thinking, baby

You are bringing out a different kind of me
There's no safety net that's underneath
I'm free, fallin' all in you
Fell for men who weren't how they appear
Trapped up on a tightrope now we're here
We're free, fallin' all in you

Every time I see you, baby, I get lost
If I'm dreaming, baby, please don't wake me up
Every night I'm with you I fall more in love
Now I'm laying by your side
Everything feels right since you came along
I'm thinking, baby

You, yeah, are bringing out a different kind of me
There's no safety net that's underneath
I'm free, fallin' all in you
Fell for men who weren't how they appear
Trapped up on a tightrope now we're here
We're free, fallin' all in you
Fallin' all in",Shawn Mendes,Pop
Imagination,"Oh, there she goes again
Every morning is the same
You walk on by my house
I wanna call out your name
I wanna tell you how beautiful you are
From where I'm standing
You got me thinking
What we could be

'Cause I keep craving, craving
You don't know it but it's true
Can't get my mouth to say the words
They wanna say to you
This is typical of love
Can't wait anymore
I won't wait, I need to tell you
How I feel

When I see us together forever
in my dreams
You're with me
We'll be everything I want us to be
And from there, who knows?
Maybe this will be the night
That we kiss
For the first time

Or is that just me
And my imagination?

We walk
We laugh, we spend our time
Walking by the ocean side
Our hands are gently intertwined
A feeling I just can't describe
All this time we spent alone
Thinking we could not belong
To something so damn beautiful
So damn beautiful

I keep craving, craving
You don't know it but it's true
Can't get my mouth to say the words
They wanna say to you
This is typical of love
I can't wait anymore
I won't wait, I need to tell you
How I feel

When I see us together forever
In my dreams
You're with me
We'll be everything I want us to be
And from there, who knows?
Maybe this will be the night
That we kiss
For the first time

Or is that just me
And my imagination?
Imagination, imagination
Oh, oh, oh, oh, oh
Oh, oh, oh, oh, oh
Oh, oh, oh, oh, oh

In my dreams
You're with me
We'll be everything I want us to be
And from there, who knows?
Maybe this will be the night
That we kiss
For the first time

Or is that just me
And my imagination?

I keep craving, craving
You don't know it but it's true
Can't get my mouth to say the words
They wanna say to you",Shawn Mendes,Pop
A Little Too Much,"She would not show that she was afraid
But being and feeling alone was too much to face
Though everyone said that she was so strong
What they didn't know was that she could barely carry on

But she knew that she would be okay
So she didn't let it get in her way
Sometimes it all gets a little too much
But you gotta realize that soon the fog will clear up
And you don't have to be afraid because we're all the same
And we know that sometimes it all gets a little too much

She would always tell herself she could do this
She would use no help it would be just fine
But when it got hard she would lose her focus
So take my hand and it will be alright
And she knew that she would be okay
So she didn't let it get in her way

Sometimes it all gets a little too much
But you gotta realize that soon the fog will clear up
And you don't have to be afraid because we're all the same
And we know that sometimes it all gets a little too much

Sometimes it all gets a little too much
But you gotta realize that soon the fog will clear up
And you don't have to be afraid because we're all the same
And we know that sometimes it all gets a little too much

Sometimes it all gets a little too much
But you gotta realize that soon the fog will clear up
And you don't have to be afraid because we're all the same
And we know that sometimes it all gets a little too much",Shawn Mendes,Pop
If I Can't Have You,"I can't write one song that's not about you
Can't drink without thinking about you
Is it too late to tell you that
Everything means nothing if I can't have you?

I'm in Toronto and I got this view
But I might as well be in a hotel room, yeah
It doesn't matter 'cause I'm so consumed
Spending all my nights reading texts from you

Oh, I'm good at keeping my distance
I know that you're the feeling I'm missing
You know that I hate to admit it
But everything means nothing if I can't have you

I can't write one song that's not about you
Can't drink without thinking about you
Is it too late to tell you that
Everything means nothing if I can't have you?
I can't write one song that's not about you
Can't drink without thinking about you
Is it too late to tell you that
Everything means nothing if I can't have you?

I'm so sorry that my timing's off
But I can't move on if we're still gonna talk
Is it wrong for me to not want half?
I want all of you, all the strings attached

Oh, I'm good at keeping my distance
I know that you're the feeling I'm missing
You know that I hate to admit it
But everything means nothing if I can't have you

I can't write one song that's not about you
Can't drink without thinking about you
Is it too late to tell you that
Everything means nothing if I can't have you?
I can't write one song that's not about you
Can't drink without thinking about you
Is it too late to tell you that
Everything means nothing if I can't have you?

I'm trying to move on, forget you, but I hold on
Everything means nothing, everything means nothing, babe
I'm trying to move on, forget you, but I hold on
Everything means nothing if I can't have you, no

I can't write one song that's not about you
Can't drink without thinking about you
Is it too late to tell you that
Everything means nothing if I can't have you? (Yeah)
I can't write one song that's not about you
Can't drink without thinking about you
Is it too late to tell you that
Everything means nothing if I can't have you?",Shawn Mendes,Pop
Lost In Japan,"All it'd take is one flight
We'd be in the same time zone
Looking through your timeline
Seeing all the rainbows, I
I got an idea
And I know that it sounds crazy
I just wanna see ya
Oh, I gotta ask

Do you got plans tonight?
I'm a couple hundred miles from Japan, and I
I was thinking I could fly to your hotel tonight
'Cause I-I-I can't get you off my mind
Can't get you off my mind
Can't get you off my mind (oh)

I can feel the tension
We could cut it with a knife
I know it's more than just a friendship
I can hear you think I'm right, yeah
Do I gotta convince you?
That you shouldn't fall asleep?
It'll only be a couple hours
And I'm about to leave

Do you got plans tonight?
I'm a couple hundred miles from Japan, and I
I was thinking I could fly to your hotel tonight
'Cause I-I-I can't get you off my mind
Can't get you off my mind
Can't get you off my mind

Do you got plans tonight?
I was hoping I could get lost in your paradise
The only thing I'm thinking 'bout is you and I
'Cause I-I-I can't get you off my mind
Can't get you off my mind
I can't seem to get you off my mind

Let's get lost tonight
Let's get lost tonight
Baby, you and
I can't seem to get you off my mind
Let's get lost tonight
Let's get lost tonight
Baby, you and
I can't seem to get you off my mind

Do you got plans tonight?
I'm a couple hundred miles from Japan, and I
I was thinking I could fly to your hotel tonight
'Cause I-I-I can't get you off my mind
I can't get you off my mind

Do you got plans tonight, baby?
I was hoping I could get lost in your paradise
The only thing I'm thinking 'bout is you and I
And I-I-I can't get you off my mind
Can't get you off my mind
I can't seem to get you off my mind, yeah

Let's get lost tonight
Let's get lost tonight
Baby, you and
I can't seem to get you off my mind
Let's get lost tonight
Let's get lost tonight
Baby, you and
I can't seem to get you off my mind",Shawn Mendes,Pop
Nervous,"I saw you on a Sunday in a cafe
And all you did was look my way
And my heart started to race
And my hands started to shake, yeah
I heard you asked about me through a friend
And my adrenaline kicked in
'Cause I've been askin' 'bout you too
And now we're out here in this room

I get a little bit nervous around you
Get a little bit stressed out when I think about you
Get a little excited
Baby, when I think about you, yeah
Talk a little too much around you
(I talk a little too much, yeah)
Get a little self-conscious when I think about you
(I get a little self-conscious)
Get a little excited
(I get a little excited)
Baby, when I think about you, yeah
Yeah, when I think about you, babe

We walked in the rain
A couple blocks to your apartment
You told me to come inside
Caught me staring in your eyes
And I'm not usually like this
But I like what you're doing to me
Ah, what you're doing to me

I get a little bit nervous around you
I get a little bit nervous
Get a little bit stressed out when I think about you
I get a little bit stressed out
Get a little excited
I get a little excited
Baby, when I think about you, yeah
Yeah, when I think about you, babe (oh yeah)
Talk a little too much around you
I talk a little too much, yeah
Get a little self-conscious when I think about you
I get a little self-conscious
Get a little excited
I get a little excited
Baby, when I think about you
Yeah, when I think about you, babe

You got me acting like I've never done this before
I promise I'll be ready when I walk through the door
And I don't know why
No, I don't know why
Yeah

I get a little bit nervous around you
I get a little bit nervous
Get a little bit stressed out when I think about you
I get a little bit stressed out
Get a little excited
I get a little excited
Baby, when I think about you, yeah
Yeah, when I think about you, babe (oh yeah)
Talk a little too much around you
I talk a little too much, yeah
Get a little self-conscious when I think about you
I get a little self-conscious
Get a little excited
I get a little excited
Baby, when I think about you
Yeah, when I think about you, babe",Shawn Mendes,Pop
24 Hours,"All it'd take is 24 hours
Sign the check and the place is ours
It's a little soon but I wanna come home to you

I don't know how this will go
I promise that I'll love you so
I'll bet it all on me and you
I'll bet it all you're bulletproof

Let's throw away our backup plans
& people might not understand
Who cares about if they approve
I'd face them all to be with you

All it'd take is 24 hours
Sign the check and the place is ours
It's a little soon but I wanna come home to you
All it'd take is 24 hours
We could dance
You could throw the flowers
It's a little soon but I wanna come home to you

I heard that once a wise man said
Only fools go rushing in
But I'm not the type to overthink
When something feels so right
And I promise I mean every word
I'll paint the world that you deserve
Every color you'd imagine
I can't wait for it happen

Cause all it'd take is 24 hours
Sign the check and the place is ours
It's a little soon but I wanna come home to you
All it'd take is 24 hours
We could dance
You could throw the flowers
It's a little soon but I wanna come home to you

I heard that once a wise man said
Only fools go rushing in
But I'm not the type to overthink
I'm not the type to overthink

All it'd take is 24 hours
Sign the check and the place is ours
It's a little soon but I wanna come home to you

All it'd take is 24 hours
Sign the check and the place is ours
It's a little soon but I wanna come home to you",Shawn Mendes,Pop
Use Somebody,"I've been roaming around
Always looking down at all I see
Painted faces fill the places I can't reach

You know that I could use somebody
You know that I could use somebody

Someone like you
And all you know and how you speak
Countless lovers undercover on the street

You know that I could use somebody
Yeah, you know that I could use somebody
Someone like you
Someone like you
Someone like you (use somebody)

Off in the night, while you live it up, I'm off to sleep, no
Waging wars to shape the poet and the beat
I hope it's gonna make you notice, yeah
I hope it's gonna make you notice

Someone like me (oh)
Someone like me (oh)
Someone like me (use somebody)
You know that I could use somebody

I've been roaming around
Always looking down at all I see",Shawn Mendes,Pop
Always Been You,"It's a fairytale I can't explain
Full of words I don't know how to say
And without a little twist of fate
I know I'd still be searching, baby
I swear that you've been sent to save me
You're the only one that my heart keeps coming back to

It's always been you, it's always been you
It's always been you, it's always been you
It's always been you

And you've seen all my darkest fears
Like you've known me for a thousand years
The boy who's really underneath
All the scars and insecurities, baby
I swear that you've been sent to save me
You're the only one that my heart keeps coming back to

It's always been you, it's always been you
It's always been you, it's always been you
It's always been you
You're the only one that my heart keeps coming back to

It's always been you, yeah
It's always been you
You're the only one that my heart keeps coming back to",Shawn Mendes,Pop
Bad Reputation,"She's got a bad reputation
She takes the long way home
All of my friends seen her naked
Or so the story goes

Mistakes, we all make them
But they won't let it go
'Cause she's got a bad reputation
But I know what they don't

I don't care what they say about you, baby
They don't know what you've been through
Trust me
I could be the one that treat you like a lady
Let me see what's underneath
All I need is you

She's got a bad reputation
Nobody gets too close
A sight of a soul when it's breaking
Making my heart grow cold

And the deeper she's sinking, I'm begging her
Please, don't let go
She's got a bad raputation
She's all that
All I want, though

And I don't care what they say about you baby
They don't know what you've been through
Trust me
I could be the one that treat you like a lady
And let me see what's underneath
All I need is you

Ah ah ah
Ah ah ah
Ah ah ah
Ohh
Ah ah ah
Ah ah ah
Ah ah ah
Ohh

Nobody knows the way that I know her, said
Nobody knows the weight that's on her shoulders, said
Nobody knows the way that I know her, said
She got it bad
She got it bad
Nobody know's the way that I know her, said
Nobody knows the weight that's on her shoulders, said
Nobody know's the way that I know her, said
She got it bad
She got it bad

And I don't care what they say about you baby
But they don't know what you've been through
Trust me
I could be the one to treat you like a lady
Then we'll see what's underneath
All I need is you

She's got a bad reputation
She takes the long way home",Shawn Mendes,Pop
Look Up At The Stars,"Look up at the stars, they're like pieces of art
Floating above the ground

It's a Friday night
And the streetlights are all saying your name
They always say your name
Before you go home, I should let you know
I'm so glad that you came
I know that we went late

But look up at the stars
They're like pieces of art
Floating above the ground
You know we could fly so far, the universe is ours
I'm not gonna let you down

I am feeling so lucky (Lucky, lucky, lucky)
The sun shining down on me (On me, on me, on me)
Got these angels all around mе
I'll never be alonе

Look up at the stars, they're like pieces of art
Floating above the ground
You know we could fly so far, the universe is ours
And I'm not gonna let you down

Finally we've met, now the lights are set
It's taken us 'til now
To be together in this town, yeah
A couple of years we've been making plans
Somehow you always seem to understand
So let me spend the night
In wonderland with you

I am feeling so lucky (Lucky, lucky, lucky)
The sun shining down on me (On me, on me, on me)
Got these angels all around me
I'll never be alone

Look up at the stars, they're like pieces of art
Floating above the ground
You know we could fly so far, the universe is ours
And I'm not gonna let you down",Shawn Mendes,Pop
